"playerId","skaterFullName","team_abbr","positionCode","shootsCatches","gamesPlayed","goals","assists","points","plusMinus","shots","shootingPct","faceoffWinPct","timeOnIcePerGame","toi_5v5_per_game","corsi_against","corsi_ahead","corsi_behind","corsi_close","corsi_for","corsi_relative","corsi_tied","corsi_total","corsi_percentage","fenwick_against","fenwick_ahead","fenwick_behind","fenwick_close","fenwick_for","fenwick_relative","fenwick_tied","fenwick_total","fenwick_percentage","zone_start_pct","shooting_pct_5v5","save_pct_5v5","evGoals","evPoints","gameWinningGoals","lastName","otGoals","penaltyMinutes","pointsPerGame","ppGoals","ppPoints","seasonId","shGoals","shPoints","teamAbbrevs","goals_per_game","assists_per_game","points_per_game","shots_per_game","corsi_plus_minus","fenwick_plus_minus"
8476934,"Brock McGinn","ANA","L","L",26,4,4,8,1,30,0.13333,0.125,702.5,595.3,317,-46,-23,-49,230,-0.049,-18,-87,0.42,205,-30,-13,-31,155,-0.031,-7,-50,0.43,0.375,0.1,0.912,4,8,0,"McGinn",0,0,0.30769,0,0,20242025,0,0,"ANA",0.153846153846154,0.153846153846154,0.307692307692308,1.15384615384615,-87,-50
8478366,"Frank Vatrano","ANA","R","L",81,21,24,45,-9,234,0.08974,0.47058,1052.716,789.07,1184,-65,-4,-29,1131,0.033,16,-53,0.488,877,-30,-16,-10,833,0.037,2,-44,0.487,0.512,0.083,0.916,17,39,1,"Vatrano",0,80,0.55555,3,5,20242025,1,1,"ANA",0.259259259259259,0.296296296296296,0.555555555555556,2.88888888888889,-53,-44
8477952,"Robby Fabbri","ANA","C","L",44,8,8,16,-6,65,0.12307,0.45512,972.2727,811.54,761,-80,-23,-126,570,-0.037,-88,-191,0.428,566,-64,-30,-97,407,-0.049,-65,-159,0.418,0.436,0.066,0.942,8,16,0,"Fabbri",0,20,0.36363,0,0,20242025,0,0,"ANA",0.181818181818182,0.181818181818182,0.363636363636364,1.47727272727273,-191,-159
8473986,"Alex Killorn","ANA","L","L",82,19,18,37,12,134,0.14179,0.38095,1036.5609,758.76,1028,-21,39,4,1063,0.06,17,35,0.508,730,1,21,-1,759,0.067,7,29,0.509,0.535,0.088,0.919,18,32,5,"Killorn",1,30,0.45121,0,3,20242025,1,2,"ANA",0.231707317073171,0.219512195121951,0.451219512195122,1.63414634146341,35,29
8480806,"Isac Lundestrom","ANA","C","L",79,4,11,15,-12,60,0.06666,0.47222,812.8354,627.32,896,-76,-83,-181,643,-0.058,-94,-253,0.417,608,-53,-53,-116,442,-0.048,-60,-166,0.42,0.285,0.064,0.908,4,14,1,"Lundestrom",0,10,0.18987,0,1,20242025,0,0,"ANA",0.0506329113924051,0.139240506329114,0.189873417721519,0.759493670886076,-253,-166
8481533,"Trevor Zegras","ANA","C","L",57,12,20,32,-8,98,0.12244,0.36559,1022.3508,821.47,869,-35,-18,-97,750,0,-66,-119,0.463,660,-28,-44,-97,527,-0.024,-61,-133,0.443,0.498,0.095,0.914,11,28,1,"Zegras",0,23,0.5614,1,4,20242025,0,0,"ANA",0.210526315789474,0.350877192982456,0.56140350877193,1.71929824561404,-119,-133
8482745,"Mason McTavish","ANA","C","L",76,22,30,52,0,180,0.12222,0.50676,1012.5394,811.05,1202,-67,-9,-111,1017,-0.007,-109,-185,0.458,895,-61,-30,-79,725,-0.016,-79,-170,0.447,0.493,0.11,0.923,16,40,2,"McTavish",1,38,0.68421,6,12,20242025,0,0,"ANA",0.289473684210526,0.394736842105263,0.684210526315789,2.36842105263158,-185,-170
8478424,"Jansen Harkins","ANA","C","L",62,2,4,6,-13,49,0.04081,0.53424,655.6451,552.33,597,-80,-35,-87,445,-0.048,-37,-152,0.427,412,-52,-34,-56,300,-0.048,-26,-112,0.421,0.26,0.062,0.896,2,6,1,"Harkins",0,21,0.09677,0,0,20242025,0,0,"ANA",0.032258064516129,0.0645161290322581,0.0967741935483871,0.790322580645161,-152,-112
8478873,"Troy Terry","ANA","R","R",77,21,34,55,0,188,0.1117,0.375,1130.948,873.09,1226,-72,-1,-22,1181,0.037,28,-45,0.49,896,-28,-15,2,873,0.047,20,-23,0.493,0.503,0.078,0.926,17,44,4,"Terry",1,20,0.71428,4,11,20242025,0,0,"ANA",0.272727272727273,0.441558441558442,0.714285714285714,2.44155844155844,-45,-23
8485512,"Tim Washe","ANA","C","L",2,0,0,0,0,2,0,0.5,464,464,12,0,-2,14,25,0.236,15,13,0.675,8,0,1,12,21,0.309,12,13,0.724,0.125,0.071,0.833,0,0,0,"Washe",0,0,0,0,0,20242025,0,0,"ANA",0,0,0,1,13,13
