"playerId","skaterFullName","team_abbr","positionCode","shootsCatches","gamesPlayed","goals","assists","points","plusMinus","shots","shootingPct","faceoffWinPct","timeOnIcePerGame","toi_5v5_per_game","corsi_against","corsi_ahead","corsi_behind","corsi_close","corsi_for","corsi_relative","corsi_tied","corsi_total","corsi_percentage","fenwick_against","fenwick_ahead","fenwick_behind","fenwick_close","fenwick_for","fenwick_relative","fenwick_tied","fenwick_total","fenwick_percentage","zone_start_pct","shooting_pct_5v5","save_pct_5v5","evGoals","evPoints","gameWinningGoals","lastName","otGoals","penaltyMinutes","pointsPerGame","ppGoals","ppPoints","seasonId","shGoals","shPoints","teamAbbrevs","goals_per_game","assists_per_game","points_per_game","shots_per_game","corsi_plus_minus","fenwick_plus_minus","moneypuck_team","onIce_xGoalsPercentage","offIce_xGoalsPercentage","I_F_xGoals","I_F_flurryAdjustedxGoals","I_F_scoreVenueAdjustedxGoals","I_F_flurryScoreVenueAdjustedxGoals","I_F_lowDangerxGoals","I_F_mediumDangerxGoals","I_F_highDangerxGoals","I_F_xGoalsFromxReboundsOfShots","I_F_xGoalsFromActualReboundsOfShots","I_F_reboundxGoals","I_F_xGoals_with_earned_rebounds","I_F_xGoals_with_earned_rebounds_scoreAdjusted","I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted","OnIce_F_xGoals","OnIce_F_flurryAdjustedxGoals","OnIce_F_scoreVenueAdjustedxGoals","OnIce_F_flurryScoreVenueAdjustedxGoals","OnIce_F_lowDangerxGoals","OnIce_F_mediumDangerxGoals","OnIce_F_highDangerxGoals","OnIce_F_xGoalsFromxReboundsOfShots","OnIce_F_xGoalsFromActualReboundsOfShots","OnIce_F_reboundxGoals","OnIce_F_xGoals_with_earned_rebounds","OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted","OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted","OnIce_A_xGoals","OnIce_A_flurryAdjustedxGoals","OnIce_A_scoreVenueAdjustedxGoals","OnIce_A_flurryScoreVenueAdjustedxGoals","OnIce_A_lowDangerxGoals","OnIce_A_mediumDangerxGoals","OnIce_A_highDangerxGoals","OnIce_A_xGoalsFromxReboundsOfShots","OnIce_A_xGoalsFromActualReboundsOfShots","OnIce_A_reboundxGoals","OnIce_A_xGoals_with_earned_rebounds","OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted","OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted","OffIce_F_xGoals","OffIce_A_xGoals","xGoalsForAfterShifts","xGoalsAgainstAfterShifts","offIce_corsiPercentage","offIce_fenwickPercentage","I_F_faceOffsWon","faceoffsWon","faceoffsLost","OffIce_F_shotAttempts","OffIce_A_shotAttempts"
8476934,"Brock McGinn","ANA","L","L",26,4,4,8,1,30,0.13333,0.125,702.5,595.3,317,-46,-23,-49,230,-0.049,-18,-87,0.42,205,-30,-13,-31,155,-0.031,-7,-50,0.43,0.375,0.1,0.912,4,8,0,"McGinn",0,0,0.30769,0,0,20242025,0,0,"ANA",0.153846153846154,0.153846153846154,0.307692307692308,1.15384615384615,-87,-50,"ANA",0.64,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,1.91,1.91,1.91,0,0,1.91,0,0,0,1.92,1.92,1.92,1.08,1.01,1.08,1.01,0.1,0.34,0.64,0.13,0,0,1.21,1.21,1.12,2.43,1.87,0,0.05,0.52,0.53,0,0,1,31,29
8476934,"Brock McGinn","ANA","L","L",26,4,4,8,1,30,0.13333,0.125,702.5,595.3,317,-46,-23,-49,230,-0.049,-18,-87,0.42,205,-30,-13,-31,155,-0.031,-7,-50,0.43,0.375,0.1,0.912,4,8,0,"McGinn",0,0,0.30769,0,0,20242025,0,0,"ANA",0.153846153846154,0.153846153846154,0.307692307692308,1.15384615384615,-87,-50,"ANA",0.39,0.45,4.56,4.28,4.5,4.22,0.58,1.41,2.57,0.42,1.22,2.27,2.71,2.64,2.62,12.79,12.23,12.5,11.97,3.16,4.47,5.16,1.52,3.58,3.58,10.73,10.48,10.35,20.23,19.13,20.22,19.13,5.33,6.02,8.88,3.01,5.15,5.15,18.09,18.15,17.77,67.51,81.86,0,0,0.49,0.48,1,1,7,1333,1387
8476934,"Brock McGinn","ANA","L","L",26,4,4,8,1,30,0.13333,0.125,702.5,595.3,317,-46,-23,-49,230,-0.049,-18,-87,0.42,205,-30,-13,-31,155,-0.031,-7,-50,0.43,0.375,0.1,0.912,4,8,0,"McGinn",0,0,0.30769,0,0,20242025,0,0,"ANA",0.153846153846154,0.153846153846154,0.307692307692308,1.15384615384615,-87,-50,"ANA",0.45,0.42,3.79,3.69,3.73,3.63,0.55,1.41,1.82,0.38,0.47,1.52,2.64,2.58,2.56,10.05,9.68,9.77,9.41,3.09,4.47,2.5,1.47,2.83,2.83,8.69,8.44,8.32,12.48,11.73,12.46,11.73,4.41,4.98,3.09,1.95,2.38,2.74,11.69,11.74,11.52,41.71,58.27,0.12,0.96,0.47,0.46,0,0,6,989,1118
8476934,"Brock McGinn","ANA","L","L",26,4,4,8,1,30,0.13333,0.125,702.5,595.3,317,-46,-23,-49,230,-0.049,-18,-87,0.42,205,-30,-13,-31,155,-0.031,-7,-50,0.43,0.375,0.1,0.912,4,8,0,"McGinn",0,0,0.30769,0,0,20242025,0,0,"ANA",0.153846153846154,0.153846153846154,0.307692307692308,1.15384615384615,-87,-50,"ANA",0.11,0.02,0.78,0.59,0.78,0.59,0.03,0,0.75,0.04,0.75,0.75,0.07,0.07,0.06,0.83,0.64,0.83,0.64,0.08,0,0.75,0.05,0.75,0.75,0.13,0.13,0.11,6.67,6.39,6.67,6.39,0.83,0.7,5.15,0.94,2.77,2.42,5.19,5.19,5.14,0.29,12.43,0,0.01,0.07,0.06,1,1,0,10,141
8476934,"Brock McGinn","ANA","L","L",26,4,4,8,1,30,0.13333,0.125,702.5,595.3,317,-46,-23,-49,230,-0.049,-18,-87,0.42,205,-30,-13,-31,155,-0.031,-7,-50,0.43,0.375,0.1,0.912,4,8,0,"McGinn",0,0,0.30769,0,0,20242025,0,0,"ANA",0.153846153846154,0.153846153846154,0.307692307692308,1.15384615384615,-87,-50,"ANA",0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0.31,0,0,0.87,0.86,0,0,0,54,8
8478366,"Frank Vatrano","ANA","R","L",81,21,24,45,-9,234,0.08974,0.47058,1052.716,789.07,1184,-65,-4,-29,1131,0.033,16,-53,0.488,877,-30,-16,-10,833,0.037,2,-44,0.487,0.512,0.083,0.916,17,39,1,"Vatrano",0,80,0.55555,3,5,20242025,1,1,"ANA",0.259259259259259,0.296296296296296,0.555555555555556,2.88888888888889,-53,-44,"ANA",0.5,0.37,5.19,4.74,5.19,4.74,0.17,0.57,4.45,0.21,0.95,0.64,4.75,4.75,4.7,17.13,14.85,17.13,14.85,1.25,2.37,13.5,1.3,3.08,3.08,15.34,15.34,13.76,17.32,15.71,17.32,15.71,1.89,2.04,13.39,1.19,1.19,1.19,17.31,17.31,15.85,13.1,22.08,0,0.03,0.38,0.38,0,0,0,111,182
8478366,"Frank Vatrano","ANA","R","L",81,21,24,45,-9,234,0.08974,0.47058,1052.716,789.07,1184,-65,-4,-29,1131,0.033,16,-53,0.488,877,-30,-16,-10,833,0.037,2,-44,0.487,0.512,0.083,0.916,17,39,1,"Vatrano",0,80,0.55555,3,5,20242025,1,1,"ANA",0.259259259259259,0.296296296296296,0.555555555555556,2.88888888888889,-53,-44,"ANA",0.53,0.41,28.9,26.92,28.8,26.82,7.44,9.3,12.16,3.49,7.78,6.1,26.3,26.19,25.39,94.44,87.09,93.83,86.53,24.89,26.97,42.58,13.42,24.41,24.7,83.16,82.7,79.11,82.43,78.59,83.12,79.25,24.44,25.16,32.82,11.6,14.46,14.81,79.21,79.81,77.44,144.25,208.24,0,0,0.44,0.44,16,16,18,3106,3987
8478366,"Frank Vatrano","ANA","R","L",81,21,24,45,-9,234,0.08974,0.47058,1052.716,789.07,1184,-65,-4,-29,1131,0.033,16,-53,0.488,877,-30,-16,-10,833,0.037,2,-44,0.487,0.512,0.083,0.916,17,39,1,"Vatrano",0,80,0.55555,3,5,20242025,1,1,"ANA",0.259259259259259,0.296296296296296,0.555555555555556,2.88888888888889,-53,-44,"ANA",0.48,0.44,16.99,15.95,16.89,15.85,5.63,6.1,5.26,2.33,4.9,3.96,15.36,15.26,14.71,51.99,48.95,51.38,48.39,17.78,17.61,16.59,7.97,15.22,15.19,44.76,44.3,43.12,56.09,54.11,56.77,54.76,20.27,19.57,16.25,8.61,12.61,12.96,51.73,52.34,51.63,106.85,135.79,1.23,1.92,0.45,0.45,15,15,17,2618,3176
8478366,"Frank Vatrano","ANA","R","L",81,21,24,45,-9,234,0.08974,0.47058,1052.716,789.07,1184,-65,-4,-29,1131,0.033,16,-53,0.488,877,-30,-16,-10,833,0.037,2,-44,0.487,0.512,0.083,0.916,17,39,1,"Vatrano",0,80,0.55555,3,5,20242025,1,1,"ANA",0.259259259259259,0.296296296296296,0.555555555555556,2.88888888888889,-53,-44,"ANA",0.34,0.1,1.18,1.07,1.18,1.07,0.22,0.56,0.41,0.08,0.99,0.56,0.7,0.7,0.69,2.82,2.09,2.82,2.09,0.42,0.56,1.84,0.17,1.68,2,1,1,0.95,5.52,5.35,5.52,5.35,1.22,2.34,1.95,1.37,0.45,0.45,6.44,6.44,6.29,3.27,28.59,0,0.01,0.12,0.13,0,0,1,54,393
8478366,"Frank Vatrano","ANA","R","L",81,21,24,45,-9,234,0.08974,0.47058,1052.716,789.07,1184,-65,-4,-29,1131,0.033,16,-53,0.488,877,-30,-16,-10,833,0.037,2,-44,0.487,0.512,0.083,0.916,17,39,1,"Vatrano",0,80,0.55555,3,5,20242025,1,1,"ANA",0.259259259259259,0.296296296296296,0.555555555555556,2.88888888888889,-53,-44,"ANA",0.89,0.85,5.43,5.05,5.43,5.05,1.31,2.07,2.05,0.87,0.94,0.94,5.36,5.36,5.17,22.18,20.88,22.18,20.88,5.2,6.34,10.64,3.92,4.43,4.43,21.68,21.68,20.9,2.87,2.83,2.87,2.83,0.89,0.96,1.02,0.34,0,0,3.2,3.2,3.15,15.86,2.78,0.07,0.04,0.86,0.84,0,0,0,257,41
