"playerId","skaterFullName","team_abbr","positionCode","gamesPlayed","goals","assists","points","plusMinus","shots","shootingPct","goals_per_game","points_per_game","timeOnIcePerGame","toi_5v5_per_game","corsi_for","corsi_against","corsi_percentage","corsi_relative","fenwick_for","fenwick_against","fenwick_percentage","fenwick_relative","OnIce_F_xGoals","OnIce_A_xGoals","I_F_xGoals","I_F_highDangerxGoals","I_F_mediumDangerxGoals","I_F_lowDangerxGoals","zone_start_pct","onIce_xGoalsPercentage","xGoals_plus_minus","goals_above_expected","xGoals_per_60","elite_possession","elite_xg_creation","high_danger_specialist"
8470600,"Ryan Suter","STL","D",87,2,14,16,5,64,0.03125,0.0229885057471264,0.183908045977011,1159.4367,1008.75,1257,1453,0.463,-0.032,860,1024,0.456,-0.044,4.53,5.5,0.06,0,0,0.06,0.432,0.45,-0.97,1.94,3.56891500371065e-05,0,0,0
8470613,"Brent Burns","CAR","D",97,7,27,34,8,200,0.035,0.0721649484536082,0.350515463917526,1275.5567,964.38,1870,1435,0.565,-0.024,1335,1035,0.563,-0.018,18.8,21.13,1.04,0.26,0.28,0.5,0.547,0.47,-2.33,5.96,0.000504328007584582,0,0,0
8470621,"Corey Perry","EDM","R",103,29,15,44,10,141,0.20567,0.281553398058252,0.427184466019417,758.8834,632.58,1171,938,0.555,0.029,824,689,0.544,0.009,10.47,3.78,1.76,1.24,0.47,0.05,0.69,0.73,6.69,27.24,0.00135098846337475,0,0,0
8471214,"Alex Ovechkin","WSH","L",75,49,30,79,15,270,0.18148,0.653333333333333,1.05333333333333,1057.8533,753.53,954,996,0.489,0.005,694,738,0.484,-0.018,19.07,12.04,9.49,8.64,0.21,0.64,0.802,0.61,7.03,39.51,0.0071767985220635,0,1,1
8471215,"Evgeni Malkin","PIT","C",68,16,34,50,-24,125,0.128,0.235294117647059,0.735294117647059,1067.1323,866.02,996,979,0.504,0.008,690,712,0.492,0.003,9.03,18.33,1.72,0.89,0.42,0.42,0.652,0.33,-9.3,14.28,0.00142217329456107,0,0,0
8471675,"Sidney Crosby","PIT","C",80,33,58,91,-20,227,0.14537,0.4125,1.1375,1222.475,953.67,1418,1284,0.524,0.03,1030,964,0.516,0.03,16.86,25.24,5.24,4.03,0.88,0.33,0.609,0.4,-8.38,27.76,0.00321478966850038,0,0,1
8471677,"Jack Johnson","CBJ","D",41,0,6,6,-13,23,0,0,0.146341463414634,772.3902,670.87,404,491,0.451,-0.05,283,364,0.437,-0.07,0,2.17,0,0,0,0,0.471,0,-2.17,0,0,0,0,0
8471685,"Anze Kopitar","LAK","C",87,23,53,76,8,106,0.21698,0.264367816091954,0.873563218390805,1147.8275,845.22,1237,1231,0.501,-0.032,865,875,0.497,-0.047,18.73,17,1.81,1.68,0,0.13,0.479,0.52,1.73,21.19,0.00108751172285815,0,0,0
8471709,"Marc-Edouard Vlasic","SJS","D",27,1,2,3,-10,20,0.05,0.037037037037037,0.111111111111111,877.5185,824.11,297,394,0.429,-0.048,216,260,0.453,-0.026,0.11,0.33,0.01,0,0,0.01,0.458,0.24,-0.22,0.99,2.53239358739699e-05,0,0,0
8471724,"Kris Letang","PIT","D",74,9,21,30,-15,164,0.05487,0.121621621621622,0.405405405405405,1411.527,1112.33,1333,1376,0.492,-0.025,936,993,0.485,-0.024,12.29,13.39,1.05,0.68,0.09,0.28,0.512,0.48,-1.1,7.95,0.000603142094590717,0,0,0
8471817,"Ryan Reaves","TOR","R",35,0,2,2,-2,14,0,0,0.0571428571428571,468.0285,464.54,199,261,0.432,-0.073,139,181,0.434,-0.074,0.47,0.04,0,0,0,0,0.233,0.93,0.43,0,0,0,0,0
8473419,"Brad Marchand","FLA","L",23,10,10,20,17,47,0.21276,0.434782608695652,0.869565217391304,1000.3043,780.69,335,285,0.54,0.013,235,197,0.543,0.033,17.67,14.93,8.63,7.13,1.02,0.47,0.454,0.54,2.74,1.37,0.0225061948431701,0,0,1
8473422,"Nick Foligno","CHI","L",78,15,20,35,-17,104,0.14423,0.192307692307692,0.448717948717949,955.4871,756.67,815,938,0.464,0.021,575,696,0.452,0.018,13.47,14.73,4.2,3.78,0.4,0.02,0.396,0.48,-1.26,10.8,0.00338127980039629,0,0,1
8473453,"Trevor Lewis","LAK","C",62,6,6,12,-4,53,0.1132,0.0967741935483871,0.193548387096774,601.5806,551.59,464,552,0.456,-0.082,345,359,0.49,-0.054,3.87,1.67,1.2,1.2,0,0,0.503,0.7,2.2,4.8,0.00193039855770057,0,0,0
8473507,"Jeff Petry","DET","D",44,1,7,8,-2,33,0.0303,0.0227272727272727,0.181818181818182,1133.7954,1025.15,648,827,0.439,-0.05,447,611,0.422,-0.048,4.23,5.45,0,0,0,0,0.476,0.44,-1.22,1,0,0,0,0
8473512,"Claude Giroux","OTT","R",87,16,39,55,-5,145,0.11034,0.183908045977011,0.632183908045977,1089.3678,751.31,1145,1008,0.531,0.042,816,722,0.53,0.037,21.52,20.57,3.15,2.27,0.54,0.34,0.545,0.51,0.949999999999999,12.85,0.00199419681130969,0,1,1
8473533,"Jordan Staal","CAR","C",90,15,24,39,14,125,0.12,0.166666666666667,0.433333333333333,941.0222,765.46,1343,959,0.583,0.002,951,683,0.582,0.008,9.78,9.01,0,0,0,0,0.471,0.52,0.77,15,0,0,0,0
8473986,"Alex Killorn","ANA","L",82,19,18,37,12,134,0.14179,0.231707317073171,0.451219512195122,1036.5609,758.76,1063,1028,0.508,0.06,759,730,0.509,0.067,12.61,16.1,3.4,2.7,0.56,0.13,0.535,0.44,-3.49,15.6,0.00240005664698406,0,0,1
8473994,"Jamie Benn","DAL","L",98,17,35,52,-8,161,0.10559,0.173469387755102,0.530612244897959,893.7857,702.1,1136,1254,0.475,-0.022,788,913,0.463,-0.026,8.47,10.51,0.98,0.58,0.32,0.07,0.477,0.45,-2.04,16.02,0.000671301856809748,0,0,0
8474013,"Ian Cole","UTA","D",82,1,16,17,-2,66,0.01515,0.0121951219512195,0.207317073170732,1216.9268,1005.82,1451,1320,0.523,-0.005,1052,917,0.534,0,13.57,10.81,1.69,1.66,0,0.03,0.511,0.56,2.76,-0.69,0.00101615427144316,0,0,0
8474034,"Patrick Maroon","CHI","L",68,5,14,19,-13,73,0.06849,0.0735294117647059,0.279411764705882,692.3823,625.48,630,758,0.453,0.009,454,570,0.443,0.011,0.81,2.94,0,0,0,0,0.462,0.22,-2.13,5,0,0,0,0
8474037,"James van Riemsdyk","CBJ","L",71,16,20,36,-4,85,0.18823,0.225352112676056,0.507042253521127,743.9718,679.18,785,817,0.49,0.008,560,587,0.488,0.004,4.83,4.38,1.3,1.15,0.16,0,0.485,0.52,0.45,14.7,0.00147665751483561,0,0,0
8474090,"Brendan Smith","DAL","D",32,1,5,6,-9,27,0.03703,0.03125,0.1875,792.5312,727.93,393,388,0.503,0,276,295,0.483,-0.02,0.23,0.1,0,0,0,0,0.475,0.71,0.13,1,0,0,0,0
8474102,"David Perron","OTT","L",49,11,8,19,-6,80,0.1375,0.224489795918367,0.387755102040816,837.4897,700.91,550,521,0.513,0.028,401,378,0.514,0.03,2.46,3.78,0.35,0.22,0.13,0,0.506,0.39,-1.32,10.65,0.000511733372447958,0,0,0
8474141,"Patrick Kane","DET","R",72,21,38,59,-16,175,0.12,0.291666666666667,0.819444444444444,1078.7638,844.75,964,1021,0.485,-0.003,707,742,0.487,0.009,12.26,19.79,3.23,1.72,1.13,0.38,0.539,0.38,-7.53,17.77,0.00249513996174757,0,0,0
8474145,"Robert Bortuzzo","UTA","D",17,0,2,2,-2,8,0,0,0.117647058823529,657.1764,566.82,145,137,0.514,-0.004,110,89,0.552,0.029,0,0.48,0,0,0,0,0.622,0,-0.48,0,0,0,0,0
8474149,"Evgenii Dadonov","DAL","R",96,21,23,44,-2,139,0.15107,0.21875,0.458333333333333,793.1354,726.73,1092,1178,0.481,-0.014,755,852,0.469,-0.016,5.01,4.07,2.75,2.65,0.09,0.01,0.476,0.55,0.94,18.25,0.00216703226208287,0,0,1
8474150,"Mikael Backlund","CGY","C",76,15,17,32,4,175,0.08571,0.197368421052632,0.421052631578947,1124.2105,829.53,1136,1008,0.529,0.021,800,695,0.535,0.031,13.69,15.57,2.3,2.14,0.09,0.07,0.382,0.47,-1.88,12.7,0.0016151685771341,0,0,1
8474151,"Ryan McDonagh","TBL","D",87,4,30,34,45,86,0.04651,0.0459770114942529,0.390804597701149,1217.954,996.96,1340,1387,0.491,-0.018,970,986,0.495,-0.009,16.81,7.67,0.73,0.6,0.13,0,0.38,0.69,9.14,3.27,0.000413355739101862,0,0,0
8474157,"Max Pacioretty","TOR","L",48,8,13,21,-1,84,0.09523,0.166666666666667,0.4375,800.9375,718.97,575,644,0.471,-0.016,433,460,0.484,-0.015,2.24,4.11,0.63,0.46,0.17,0,0.502,0.35,-1.87,7.37,0.000983222785797893,0,0,0
8474166,"Alec Martinez","CHI","D",44,5,7,12,-15,38,0.13157,0.113636363636364,0.272727272727273,1123.7045,985,600,835,0.418,-0.022,422,621,0.404,-0.029,1.38,4.62,0.11,0,0,0.11,0.5,0.23,-3.24,4.89,0.000133487051088609,0,0,0
8474189,"Lars Eller","WSH","C",9,0,1,1,-1,3,0,0,0.111111111111111,645,602.77,61,101,0.376,-0.033,46,71,0.393,-0.059,5.92,4.98,0.66,0.62,0,0.04,0.32,0.54,0.94,-0.66,0.00682170542635659,0,0,0
8474563,"Drew Doughty","LAK","D",36,5,16,21,2,56,0.08928,0.138888888888889,0.583333333333333,1478.8611,1167.44,709,738,0.489,-0.04,502,535,0.484,-0.053,6.64,7.09,1.39,0.82,0.4,0.18,0.489,0.48,-0.45,3.61,0.00156652079540578,0,0,0
8474564,"Steven Stamkos","NSH","C",82,27,26,53,-36,174,0.15517,0.329268292682927,0.646341463414634,1079.9878,819.67,1071,1154,0.481,-0.028,765,834,0.478,-0.029,27.2,20.87,4.66,1.83,2.13,0.7,0.651,0.57,6.33,22.34,0.00315721723667709,0,1,0
8474565,"Alex Pietrangelo","VGK","D",81,6,33,39,12,136,0.04411,0.0740740740740741,0.481481481481481,1348.8641,1105.54,1613,1483,0.52,0.003,1170,1046,0.527,0.009,16.51,17.34,1.99,1.4,0.38,0.2,0.563,0.49,-0.829999999999998,4.01,0.00109282623362433,0,0,0
8474567,"Zach Bogosian","MIN","D",87,4,13,17,-5,81,0.04938,0.0459770114942529,0.195402298850575,936.8045,815.16,1028,1251,0.451,-0.034,750,906,0.452,-0.037,6.64,7.47,0.13,0,0,0.13,0.419,0.47,-0.83,3.87,9.57031829093403e-05,0,0,0
8474568,"Luke Schenn","WPG","D",11,0,1,1,-8,11,0,0,0.0909090909090909,990.1818,843.36,131,144,0.476,-0.054,96,100,0.489,-0.035,2.83,2.91,0.02,0,0,0.02,0.415,0.49,-0.0800000000000001,-0.02,0.000110172605768869,0,0,0
8474574,"Tyler Myers","VAN","D",71,6,18,24,2,87,0.06896,0.0845070422535211,0.338028169014085,1247.507,1025.67,1091,1212,0.473,-0.035,773,834,0.481,-0.016,11.8,7.26,1.25,1.01,0.18,0.06,0.446,0.62,4.54,4.75,0.00084675919908186,0,0,0
8474578,"Erik Karlsson","PIT","D",82,11,42,53,-24,191,0.05759,0.134146341463415,0.646341463414634,1394.1463,1131.76,1671,1570,0.515,0.015,1186,1160,0.505,0.011,13.04,24.23,0.71,0,0.27,0.44,0.555,0.35,-11.19,10.29,0.000372638219620101,0,0,0
8474586,"Jordan Eberle","SEA","R",42,9,17,26,0,66,0.13636,0.214285714285714,0.619047619047619,975.7857,771.4,496,565,0.467,-0.031,352,397,0.469,-0.031,7.28,7.28,1.1,0.49,0.38,0.23,0.45,0.5,0,7.9,0.0016104238578497,0,0,0
8474590,"John Carlson","WSH","D",89,6,48,54,20,180,0.03333,0.0674157303370786,0.606741573033708,1418.4831,980.1,1492,1413,0.513,0.032,1103,972,0.531,0.04,27.95,21.53,1.9,0.94,0.36,0.61,0.517,0.56,6.42,4.1,0.000903006088972434,0,1,0
8474600,"Roman Josi","NSH","D",53,9,29,38,-26,150,0.06,0.169811320754717,0.716981132075472,1501.9433,1110.96,1091,938,0.537,0.053,785,683,0.534,0.06,24.6,19.75,4.92,3.11,0.82,1.01,0.671,0.55,4.85,4.08,0.00370840318722732,0,1,1
8474612,"Travis Hamonic","OTT","D",59,1,6,7,-16,72,0.01388,0.0169491525423729,0.11864406779661,1024.0169,901.52,844,957,0.468,-0.042,610,666,0.478,-0.041,3.21,2.88,0.07,0,0,0.07,0.437,0.53,0.33,0.93,6.95168611748166e-05,0,0,0
8474641,"Adam Henrique","EDM","C",103,16,18,34,6,139,0.1151,0.155339805825243,0.330097087378641,879.1165,710.23,1067,1256,0.459,-0.093,740,830,0.471,-0.083,7.72,6.14,0.71,0.46,0.18,0.07,0.42,0.56,1.58,15.29,0.000470463508544896,0,0,0
8474673,"TJ Brodie","CHI","D",54,2,8,10,-18,23,0.08695,0.037037037037037,0.185185185185185,937.9444,897.31,693,804,0.462,0.019,479,598,0.444,0.003,0.05,0.54,0,0,0,0,0.479,0.09,-0.49,2,0,0,0,0
