"playerId","skaterFullName","team_abbr","positionCode","shootsCatches","gamesPlayed","goals","assists","points","plusMinus","shots","shootingPct","faceoffWinPct","timeOnIcePerGame","toi_5v5_per_game","corsi_against","corsi_ahead","corsi_behind","corsi_close","corsi_for","corsi_relative","corsi_tied","corsi_total","corsi_percentage","fenwick_against","fenwick_ahead","fenwick_behind","fenwick_close","fenwick_for","fenwick_relative","fenwick_tied","fenwick_total","fenwick_percentage","zone_start_pct","shooting_pct_5v5","save_pct_5v5","evGoals","evPoints","gameWinningGoals","lastName","otGoals","penaltyMinutes","pointsPerGame","ppGoals","ppPoints","seasonId","shGoals","shPoints","teamAbbrevs","goals_per_game","assists_per_game","points_per_game","shots_per_game","corsi_plus_minus","fenwick_plus_minus","moneypuck_team","onIce_xGoalsPercentage","offIce_xGoalsPercentage","I_F_xGoals","I_F_flurryAdjustedxGoals","I_F_scoreVenueAdjustedxGoals","I_F_flurryScoreVenueAdjustedxGoals","I_F_lowDangerxGoals","I_F_mediumDangerxGoals","I_F_highDangerxGoals","I_F_xGoalsFromxReboundsOfShots","I_F_xGoalsFromActualReboundsOfShots","I_F_reboundxGoals","I_F_xGoals_with_earned_rebounds","I_F_xGoals_with_earned_rebounds_scoreAdjusted","I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted","OnIce_F_xGoals","OnIce_F_flurryAdjustedxGoals","OnIce_F_scoreVenueAdjustedxGoals","OnIce_F_flurryScoreVenueAdjustedxGoals","OnIce_F_lowDangerxGoals","OnIce_F_mediumDangerxGoals","OnIce_F_highDangerxGoals","OnIce_F_xGoalsFromxReboundsOfShots","OnIce_F_xGoalsFromActualReboundsOfShots","OnIce_F_reboundxGoals","OnIce_F_xGoals_with_earned_rebounds","OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted","OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted","OnIce_A_xGoals","OnIce_A_flurryAdjustedxGoals","OnIce_A_scoreVenueAdjustedxGoals","OnIce_A_flurryScoreVenueAdjustedxGoals","OnIce_A_lowDangerxGoals","OnIce_A_mediumDangerxGoals","OnIce_A_highDangerxGoals","OnIce_A_xGoalsFromxReboundsOfShots","OnIce_A_xGoalsFromActualReboundsOfShots","OnIce_A_reboundxGoals","OnIce_A_xGoals_with_earned_rebounds","OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted","OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted","OffIce_F_xGoals","OffIce_A_xGoals","xGoalsForAfterShifts","xGoalsAgainstAfterShifts","offIce_corsiPercentage","offIce_fenwickPercentage","I_F_faceOffsWon","faceoffsWon","faceoffsLost","OffIce_F_shotAttempts","OffIce_A_shotAttempts","individual_shooting_luck","team_offensive_luck","overall_team_luck","shooting_efficiency","xG_percentage","individual_luck_category","shooting_efficiency_category","hot_shooter","cold_shooter","lucky_individual","unlucky_individual"
8470600,"Ryan Suter","STL","D","L",87,2,14,16,5,64,0.03125,NA,1159.4367,1008.75,1453,-81,1,-139,1257,-0.032,-116,-196,0.463,1024,-31,-41,-140,860,-0.044,-92,-164,0.456,0.432,0.101,0.913,1,15,0,"Suter",0,24,0.1839,0,0,20242025,1,1,"STL",0.0229885057471264,0.160919540229885,0.183908045977011,0.735632183908046,-196,-164,"STL",0.45,0.51,0.06,0.06,0.06,0.06,0.06,0,0,0.01,0,0,0.07,0.07,0.07,4.53,4.24,4.53,4.24,0.19,0.23,4.12,0.17,0.28,0.28,4.42,4.42,4.15,5.5,4.16,5.5,4.16,0.83,1.19,3.48,0.63,2.45,2.45,3.68,3.68,3.48,12.9,12.54,0,0,0.47,0.48,0,0,0,113,126,1.94,4.47,-0.97,33.3333333333333,45.1645064805583,"Lucky","Hot Shooter",1,0,0,0
8470613,"Brent Burns","CAR","D","R",97,7,27,34,8,200,0.035,NA,1275.5567,964.38,1435,101,156,316,1870,-0.024,178,435,0.565,1035,103,86,206,1335,-0.018,111,300,0.563,0.547,0.087,0.9,7,29,0,"Burns",0,38,0.35051,0,5,20242025,0,0,"CAR",0.0721649484536082,0.278350515463918,0.350515463917526,2.06185567010309,435,300,"CAR",0.47,0.63,1.04,0.99,1.04,0.99,0.5,0.28,0.26,0.27,0.09,0.04,1.27,1.27,1.21,18.8,17.8,18.8,17.8,1.99,2.9,13.91,1.42,1.19,1.19,19.03,19.03,18.32,21.13,20.15,21.13,20.15,1.78,2.13,17.22,1.53,1.72,1.72,20.94,20.94,20.03,16.87,10.1,0.67,0.08,0.56,0.57,0,0,0,119,92,5.96,17.76,-2.33,6.73076923076923,47.0823941898322,"Very Lucky","Hot Shooter",1,0,1,0
8470621,"Corey Perry","EDM","R","R",103,29,15,44,10,141,0.20567,0.47222,758.8834,632.58,938,-2,134,95,1171,0.029,101,233,0.555,689,3,73,45,824,0.009,59,135,0.544,0.69,0.086,0.912,20,30,5,"Perry",0,73,0.42718,9,14,20242025,0,0,"EDM",0.281553398058252,0.145631067961165,0.427184466019417,1.36893203883495,233,135,"EDM",0.73,0.57,1.76,1.66,1.76,1.66,0.05,0.47,1.24,0.1,0.22,0.17,1.69,1.69,1.67,10.47,8.98,10.47,8.98,1.13,2.32,7.02,1.18,4.04,4.04,7.62,7.62,7.19,3.78,3.7,3.78,3.7,0.27,0.47,3.04,0.19,0.17,0.17,3.8,3.8,3.74,13.15,10.03,0,0,0.47,0.51,0,0,0,105,117,27.24,8.71,6.69,16.4772727272727,73.4736842105263,"Very Lucky","Hot Shooter",1,0,1,0
8471214,"Alex Ovechkin","WSH","L","R",75,49,30,79,15,270,0.18148,0,1057.8533,753.53,996,-30,-2,8,954,0.005,-10,-42,0.489,738,-2,-24,-14,694,-0.018,-18,-44,0.484,0.802,0.121,0.922,32,54,8,"Ovechkin",2,20,1.05333,17,25,20242025,0,0,"WSH",0.653333333333333,0.4,1.05333333333333,3.6,-42,-44,"WSH",0.61,0.46,9.49,9.06,9.49,9.06,0.64,0.21,8.64,0.36,0,0,9.85,9.85,9.39,19.07,17.91,19.07,17.91,1.92,1.95,15.2,1.26,1.25,1.25,19.08,19.08,17.95,12.04,10.09,12.04,10.09,0.73,2.05,9.26,0.94,1.4,1.52,11.47,11.47,9.87,7.68,8.97,0,0,0.28,0.33,0,0,1,56,143,39.51,9.58,7.03,5.16332982086407,61.2986178077789,"Very Lucky","Hot Shooter",1,0,1,0
8471215,"Evgeni Malkin","PIT","C","L",68,16,34,50,-24,125,0.128,0.45813,1067.1323,866.02,979,-20,45,38,996,0.008,-8,17,0.504,712,-18,1,1,690,0.003,-5,-22,0.492,0.652,0.082,0.907,12,34,3,"Malkin",1,42,0.73529,4,16,20242025,0,0,"PIT",0.235294117647059,0.5,0.735294117647059,1.83823529411765,17,-22,"PIT",0.33,0.53,1.72,1.62,1.72,1.62,0.42,0.42,0.89,0.18,0.5,0,1.9,1.9,1.79,9.03,7.81,9.03,7.81,1.85,2.32,4.87,1.33,2.18,2.18,8.19,8.19,7.5,18.33,17.88,18.33,17.88,0.57,0.61,17.15,0.31,0,0,18.65,18.65,18.19,7.2,6.47,0,0,0.29,0.32,2,2,4,37,91,14.28,7.31,-9.3,9.30232558139535,33.0043859649123,"Very Lucky","Hot Shooter",1,0,1,0
8471675,"Sidney Crosby","PIT","C","L",80,33,58,91,-20,227,0.14537,0.57014,1222.475,953.67,1284,32,57,103,1418,0.03,45,134,0.524,964,28,10,47,1030,0.03,28,66,0.516,0.609,0.106,0.887,21,64,10,"Crosby",4,31,1.1375,12,27,20242025,0,0,"PIT",0.4125,0.725,1.1375,2.8375,134,66,"PIT",0.4,0.42,5.24,4.97,5.24,4.97,0.33,0.88,4.03,0.35,0.25,0.6,4.99,4.99,4.84,16.86,15.42,16.86,15.42,1.98,3.34,11.55,1.72,2.67,2.67,15.93,15.93,14.96,25.24,23.82,25.24,23.82,2,1.34,21.91,1.18,2.56,2.56,23.86,23.86,22.69,7.45,10.15,0,0.22,0.3,0.31,57,57,40,47,110,27.76,11.62,-8.38,6.29770992366412,40.0475059382423,"Very Lucky","Hot Shooter",1,0,1,0
8471677,"Jack Johnson","CBJ","D","L",41,0,6,6,-13,23,0,NA,772.3902,670.87,491,-61,-12,-51,404,-0.05,-14,-87,0.451,364,-43,-23,-55,283,-0.07,-15,-81,0.437,0.471,0.102,0.858,0,6,0,"Johnson",0,2,0.14634,0,0,20242025,0,0,"CBJ",0,0.146341463414634,0.146341463414634,0.560975609756098,-87,-81,"CBJ",0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,1.87,2.17,1.87,0.27,0.2,1.71,0.27,0.33,0.33,2.11,2.11,1.95,5.49,5.32,0,0,0.51,0.49,0,0,0,50,48,NA,NA,-2.17,NA,0,"No Data","No Data",NA,NA,NA,NA
8471685,"Anze Kopitar","LAK","C","L",87,23,53,76,8,106,0.21698,0.57253,1147.8275,845.22,1231,-80,44,10,1237,-0.032,42,6,0.501,875,-34,11,9,865,-0.047,13,-10,0.497,0.479,0.106,0.919,18,49,7,"Kopitar",0,4,0.87356,5,26,20242025,0,1,"LAK",0.264367816091954,0.609195402298851,0.873563218390805,1.2183908045977,6,-10,"LAK",0.52,0.5,1.81,1.62,1.81,1.62,0.13,0,1.68,0.1,0,0.27,1.64,1.64,1.5,18.73,17.44,18.73,17.44,2.24,2.33,14.16,1.57,1.12,1.12,19.18,19.18,17.84,17,16.24,17,16.24,1.03,2.05,13.91,1.28,1.56,1.56,16.72,16.72,16.02,10.24,10.26,0,0.02,0.38,0.37,62,62,63,75,123,21.19,16.92,1.73,12.707182320442,52.420934788693,"Very Lucky","Hot Shooter",1,0,1,0
8471709,"Marc-Edouard Vlasic","SJS","D","L",27,1,2,3,-10,20,0.05,NA,877.5185,824.11,394,-7,-52,-55,297,-0.048,-38,-97,0.429,260,-2,-28,-21,216,-0.026,-14,-44,0.453,0.458,0.06,0.895,1,2,0,"Vlasic",0,2,0.11111,0,0,20242025,0,1,"SJS",0.037037037037037,0.0740740740740741,0.111111111111111,0.740740740740741,-97,-44,"SJS",0.24,0.35,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0,0,0.02,0.02,0.02,0.11,0.11,0.11,0.11,0.01,0.09,0,0.01,0,0,0.12,0.12,0.12,0.33,0.33,0.33,0.33,0.16,0.17,0,0.09,0,0,0.41,0.41,0.41,3.35,6.32,0,0,0.42,0.37,0,0,0,34,47,0.99,0.1,-0.22,100,25,"Normal","Hot Shooter",1,0,0,0
8471724,"Kris Letang","PIT","D","R",74,9,21,30,-15,164,0.05487,NA,1411.527,1112.33,1376,-99,49,89,1333,-0.025,7,-43,0.492,993,-54,2,34,936,-0.024,-5,-57,0.485,0.512,0.082,0.905,4,17,0,"Letang",0,52,0.4054,4,12,20242025,1,1,"PIT",0.121621621621622,0.283783783783784,0.405405405405405,2.21621621621622,-43,-57,"PIT",0.48,0.34,1.05,0.72,1.05,0.72,0.28,0.09,0.68,0.14,0,0,1.2,1.2,0.85,12.29,11.44,12.29,11.44,1.18,0.92,10.19,0.62,0.68,0.68,12.24,12.24,11.52,13.39,12.52,13.39,12.52,1.79,1.71,9.9,1.1,2.55,2.55,11.95,11.95,11.46,6.55,12.57,0.01,0,0.35,0.38,0,0,0,57,106,7.95,11.24,-1.1,8.57142857142857,47.8582554517134,"Very Lucky","Hot Shooter",1,0,1,0
