"playerId","skaterFullName","teams_played_for","team_list","positionCode","shootsCatches","lastName","teamAbbrevs","moneypuck_team","team_abbr","gamesPlayed","goals","assists","points","plusMinus","shots","shootingPct","faceoffWinPct","timeOnIcePerGame","toi_5v5_per_game","corsi_against","corsi_ahead","corsi_behind","corsi_close","corsi_for","corsi_relative","corsi_tied","corsi_total","corsi_percentage","fenwick_against","fenwick_ahead","fenwick_behind","fenwick_close","fenwick_for","fenwick_relative","fenwick_tied","fenwick_total","fenwick_percentage","zone_start_pct","shooting_pct_5v5","save_pct_5v5","evGoals","evPoints","gameWinningGoals","otGoals","penaltyMinutes","pointsPerGame","ppGoals","ppPoints","seasonId","shGoals","shPoints","goals_per_game","assists_per_game","points_per_game","shots_per_game","corsi_plus_minus","fenwick_plus_minus","onIce_xGoalsPercentage","offIce_xGoalsPercentage","I_F_xGoals","I_F_flurryAdjustedxGoals","I_F_scoreVenueAdjustedxGoals","I_F_flurryScoreVenueAdjustedxGoals","I_F_lowDangerxGoals","I_F_mediumDangerxGoals","I_F_highDangerxGoals","I_F_xGoalsFromxReboundsOfShots","I_F_xGoalsFromActualReboundsOfShots","I_F_reboundxGoals","I_F_xGoals_with_earned_rebounds","I_F_xGoals_with_earned_rebounds_scoreAdjusted","I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted","OnIce_F_xGoals","OnIce_F_flurryAdjustedxGoals","OnIce_F_scoreVenueAdjustedxGoals","OnIce_F_flurryScoreVenueAdjustedxGoals","OnIce_F_lowDangerxGoals","OnIce_F_mediumDangerxGoals","OnIce_F_highDangerxGoals","OnIce_F_xGoalsFromxReboundsOfShots","OnIce_F_xGoalsFromActualReboundsOfShots","OnIce_F_reboundxGoals","OnIce_F_xGoals_with_earned_rebounds","OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted","OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted","OnIce_A_xGoals","OnIce_A_flurryAdjustedxGoals","OnIce_A_scoreVenueAdjustedxGoals","OnIce_A_flurryScoreVenueAdjustedxGoals","OnIce_A_lowDangerxGoals","OnIce_A_mediumDangerxGoals","OnIce_A_highDangerxGoals","OnIce_A_xGoalsFromxReboundsOfShots","OnIce_A_xGoalsFromActualReboundsOfShots","OnIce_A_reboundxGoals","OnIce_A_xGoals_with_earned_rebounds","OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted","OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted","OffIce_F_xGoals","OffIce_A_xGoals","xGoalsForAfterShifts","xGoalsAgainstAfterShifts","offIce_corsiPercentage","offIce_fenwickPercentage","I_F_faceOffsWon","faceoffsWon","faceoffsLost","OffIce_F_shotAttempts","OffIce_A_shotAttempts","xGoals_plus_minus","goals_above_expected","traded_player","individual_shooting_luck","team_offensive_luck","overall_team_luck","shooting_efficiency","xG_percentage","individual_shooting_luck_per_game","trade_impact_available","individual_luck_category","shooting_efficiency_category","hot_shooter","cold_shooter","lucky_individual","unlucky_individual"
8477934,"Leon Draisaitl",1,"EDM","C","L","Draisaitl","EDM","EDM","EDM",93,63,76,139,36,296,21.2837837837838,0.53606,1308.8172,1010.44,1338,69,216,325,1857,0.078,234,519,58.1220657276995,988,94,116,248,1381,0.072,183,393,58.2946390882229,0.623,0.089,0.9,43,94,15,10,40,1.49462,20,45,20242025,0,0,0.67741935483871,0.817204301075269,1.49462365591398,3.18279569892473,519,393,61.4113002714039,0.46,9.16,8.64,9.16,8.64,0.66,2.73,5.76,0.71,1.5,0.6,9.27,9.27,8.76,24.89,22.99,24.89,22.99,2.59,5.32,16.98,2.11,4.73,4.73,22.27,22.27,21.42,15.64,14.48,15.64,14.48,1.78,1.63,12.23,1.01,0.94,0.94,15.7,15.7,14.6,6,6.93,0.06,0.13,0.29,0.31,60,60,40,46,112,9.25,53.84,FALSE,53.84,15.73,9.25,6.87772925764192,61.4113002714039,0.578924731182796,TRUE,"Very Lucky","Hot Shooter",1,0,1,0
8478402,"Connor McDavid",1,"EDM","C","L","McDavid","EDM","EDM","EDM",89,33,100,133,23,276,11.9565217391304,0.48054,1357.3932,1042.57,1278,142,195,340,1863,0.095,248,585,59.3123209169054,938,118,135,242,1371,0.088,180,433,59.3763533997401,0.675,0.096,0.875,24,95,5,0,41,1.49438,9,38,20242025,0,0,0.370786516853933,1.12359550561798,1.49438202247191,3.10112359550562,585,433,59.2089728453365,0.51,2.94,2.89,2.94,2.89,0.45,0.74,1.76,0.26,0.35,0.52,2.68,2.68,2.66,20.06,18.17,20.06,18.17,2.18,5.16,12.71,1.91,4.52,4.52,17.44,17.44,16.59,13.82,12.46,13.82,12.46,1.44,1,11.38,0.78,0.5,0.5,14.1,14.1,12.82,8.62,8.14,0.56,0,0.28,0.31,10,10,11,44,116,6.24,30.06,FALSE,30.06,17.12,6.24,11.2244897959184,59.2089728453365,0.337752808988764,TRUE,"Very Lucky","Hot Shooter",1,0,1,0
8477492,"Nathan MacKinnon",1,"COL","C","R","MacKinnon","COL","COL","COL",86,39,88,127,30,359,10.8635097493036,0.5,1367.2441,1025.05,1275,119,196,381,1814,0.072,224,539,58.7245063127226,913,88,146,262,1295,0.07,148,382,58.6503623188406,0.652,0.087,0.912,27,86,7,1,43,1.47674,12,41,20242025,0,0,0.453488372093023,1.02325581395349,1.47674418604651,4.17441860465116,539,382,54.2600105838772,0.5,6.48,6.24,6.48,6.24,1.47,1.43,3.58,0.79,0.1,0.04,7.24,7.24,6.94,30.76,28.42,30.76,28.42,4.9,6.35,19.51,3.55,2.63,2.63,31.67,31.67,29.92,25.93,24.24,25.93,24.24,1.8,3.03,21.1,1.5,2.57,3,24.43,24.43,23.3,10.75,10.78,0.13,0.17,0.32,0.35,69,69,61,66,141,4.83,32.52,FALSE,32.52,24.28,4.83,6.01851851851852,54.2600105838772,0.378139534883721,TRUE,"Very Lucky","Hot Shooter",1,0,1,0
8476453,"Nikita Kucherov",1,"TBL","R","L","Kucherov","TBL","TBL","TBL",83,37,88,125,22,272,13.6029411764706,0.5,1277.8313,967.65,1310,2,91,101,1471,0.035,68,161,52.8946422150306,961,26,35,57,1062,0.032,40,101,52.4962926347009,0.585,0.12,0.923,29,78,9,1,47,1.50602,8,47,20242025,0,0,0.44578313253012,1.06024096385542,1.50602409638554,3.27710843373494,161,101,53.3542741754543,0.64,5.11,5.04,5.11,5.04,0.93,0.9,3.28,0.5,0,0,5.61,5.61,5.51,23.78,22.19,23.78,22.19,2.56,3.68,17.54,2.49,2.67,2.79,23.48,23.48,22.12,20.79,18.64,20.79,18.64,0.9,1.52,18.37,0.74,0.91,0.91,20.61,20.61,18.9,12.77,7.09,0.13,0,0.36,0.39,1,1,1,65,114,2.99,31.89,FALSE,31.89,18.67,2.99,7.24070450097847,53.3542741754543,0.38421686746988,TRUE,"Very Lucky","Hot Shooter",1,0,1,0
8478483,"Mitchell Marner",1,"TOR","R","R","Marner","TOR",NA,"TOR",94,29,86,115,17,189,15.3439153439153,0.32558,1286.0851,883.39,1414,-68,67,-36,1336,0.024,-77,-78,48.5818181818182,978,-9,2,-1,957,0.026,-14,-21,49.4573643410853,0.49,0.113,0.92,22,74,8,3,16,1.2234,6,39,20242025,1,2,0.308510638297872,0.914893617021277,1.22340425531915,2.01063829787234,-78,-21,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,FALSE,NA,NA,0,NA,NA,NA,TRUE,"No Data","No Data",0,0,0,0
8478398,"Kyle Connor",1,"WPG","L","L","Connor","WPG","WPG","WPG",95,46,68,114,21,312,14.7435897435897,0.125,1239.2105,944.01,1537,-64,20,-81,1436,-0.025,-57,-101,48.301379078372,1129,-12,-15,-87,1032,-0.044,-70,-97,47.7556686719112,0.641,0.115,0.924,35,80,10,2,25,1.2,9,32,20242025,2,2,0.484210526315789,0.715789473684211,1.2,3.28421052631579,-101,-97,39.8865784499055,0.57,5.56,5.21,5.56,5.21,0.78,1.43,3.35,0.64,0.38,0.38,5.82,5.82,5.61,14.77,14.16,14.77,14.16,2.67,3.53,8.57,2.01,1.97,1.31,15.47,15.47,15.01,22.26,21.05,22.26,21.05,1.4,1.54,19.32,1.07,2.47,2.47,20.85,20.85,19.86,11.16,8.4,0.03,0,0.36,0.41,1,1,1,68,119,-7.49,40.44,FALSE,40.44,9.21,-7.49,8.27338129496403,39.8865784499055,0.425684210526316,TRUE,"Very Lucky","Hot Shooter",1,0,1,0
8477956,"David Pastrnak",1,"BOS","R","R","Pastrnak","BOS","BOS","BOS",82,43,63,106,0,319,13.4796238244514,0.375,1211.1707,926.74,1189,-61,73,38,1234,0.051,33,45,50.9286009079653,871,-10,12,24,891,0.047,18,20,50.5675368898978,0.682,0.12,0.905,34,83,4,3,42,1.29268,9,23,20242025,0,0,0.524390243902439,0.768292682926829,1.29268292682927,3.89024390243902,45,20,47.9220222793488,0.42,7.38,7.05,7.38,7.05,0.92,1.55,4.91,0.79,1.43,0.41,7.75,7.75,7.38,22.37,19.58,22.37,19.58,2.94,3.78,15.65,2.32,4.99,4.99,19.71,19.71,18.72,24.31,23.4,24.31,23.4,1.12,1.83,21.37,1.02,1.19,1.19,24.14,24.14,23.4,7.47,10.29,0,0,0.37,0.34,0,0,0,75,126,-1.94,35.62,FALSE,35.62,14.99,-1.94,5.82655826558266,47.9220222793488,0.434390243902439,TRUE,"Very Lucky","Hot Shooter",1,0,1,0
8477933,"Sam Reinhart",1,"FLA","C","R","Reinhart","FLA","FLA","FLA",100,50,54,104,11,276,18.1159420289855,0.40362,1242.91,861.31,1212,17,193,290,1585,0.025,163,373,56.6678584197354,864,22,136,225,1150,0.039,128,286,57.1002979145978,0.541,0.091,0.91,32,64,4,0,33,1.04,13,34,20242025,5,6,0.5,0.54,1.04,2.76,373,286,54.458722741433,0.6,9.41,6.43,9.41,6.43,0.63,0.99,7.79,0.75,2.91,4.84,5.32,5.32,4.5,27.97,21.04,27.97,21.04,2.71,4.47,20.79,3.16,9.03,9.13,22,22,18.73,23.39,21.43,23.39,21.43,1.85,0.93,20.62,1.36,1.87,1.87,22.88,22.88,21.19,11.99,8.04,0.03,0.02,0.47,0.5,18,18,32,92,102,4.58,40.59,FALSE,40.59,18.56,4.58,5.3134962805526,54.458722741433,0.4059,TRUE,"Very Lucky","Hot Shooter",1,0,1,0
8478403,"Jack Eichel",1,"VGK","C","R","Eichel","VGK","VGK","VGK",88,29,75,104,24,263,11.0266159695817,0.45781,1251.5568,904.04,1305,30,92,-3,1405,0.004,-22,100,51.8450184501845,927,48,40,1,1002,0.002,-13,75,51.9440124416796,0.582,0.109,0.905,23,63,3,0,8,1.18181,5,38,20242025,1,3,0.329545454545455,0.852272727272727,1.18181818181818,2.98863636363636,100,75,56.5409113179814,0.48,4.28,3.86,4.28,3.86,0.7,0.62,2.96,0.42,0.83,0.48,4.22,4.22,4.04,23.08,21.18,23.08,21.18,2.17,3.27,17.64,1.85,2.62,2.62,22.31,22.31,20.85,17.74,15.67,17.74,15.67,2.07,3.83,11.83,1.79,1.31,1.31,18.22,18.22,16.26,6.6,7.28,0,0,0.25,0.26,20,20,38,21,63,5.34,24.72,FALSE,24.72,18.8,5.34,6.77570093457944,56.5409113179814,0.280909090909091,TRUE,"Very Lucky","Hot Shooter",1,0,1,0
8477939,"William Nylander",1,"TOR","R","R","Nylander","TOR","TOR","TOR",95,51,48,99,7,290,17.5862068965517,0.52601,1167.1789,898.14,1539,-102,57,-162,1388,0.007,-106,-151,47.4205671335839,1125,-31,0,-145,1014,-0.004,-80,-111,47.4053295932679,0.553,0.102,0.931,38,64,8,2,30,1.0421,13,35,20242025,0,0,0.536842105263158,0.505263157894737,1.04210526315789,3.05263157894737,-151,-111,42.9720575783235,0.6,6.38,6.28,6.38,6.28,0.98,0.86,4.54,0.46,0.89,0.25,6.6,6.6,6.5,20.3,19.02,20.3,19.02,3.12,3.7,13.49,2.23,2.5,2.5,20.04,20.04,18.88,26.94,25.95,26.94,25.95,1.78,2.2,22.96,1.14,1.4,1.4,26.69,26.69,25.96,23.45,15.49,0.3,0.06,0.33,0.39,8,8,9,96,192,-6.64,44.62,FALSE,44.62,13.92,-6.64,7.99373040752351,42.9720575783235,0.469684210526316,TRUE,"Very Lucky","Hot Shooter",1,0,1,0
